ssn,age,education,marital-status,relationship,sex,income
088-08-8088,26.0,,Never-married,Not-in-family,,<=50K
994-99-4994,32.0,HS-grad,,Husband,Male,>50K
329-32-9329,28.0,,Never-married,Not-in-family,Female,<=50K
428-42-8428,48.0,10th,,Unmarried,Female,
424-42-4424,24.0,,Never-married,Not-in-family,Male,<=50K
565-56-5565,,HS-grad,Divorced,Unmarried,Male,
357-35-7357,55.0,HS-grad,Widowed,,Female,
413-41-3413,43.0,7th-8th,Married-civ-spouse,,Male,>50K
767-76-7767,49.0,HS-grad,,Wife,,<=50K
042-04-2042,38.0,HS-grad,Divorced,Not-in-family,Male,<=50K
203-20-3203,53.0,,Married-civ-spouse,Wife,Female,<=50K
232-23-2232,45.0,10th,Divorced,,Female,
306-30-6306,34.0,,Married-spouse-absent,Not-in-family,Male,<=50K
187-18-7187,54.0,Masters,,Not-in-family,,
870-87-0870,38.0,,Married-civ-spouse,Husband,Male,
185-18-5185,38.0,10th,Married-civ-spouse,Husband,,<=50K
992-99-2992,,HS-grad,Married-civ-spouse,Husband,,
612-61-2612,34.0,10th,,Not-in-family,Female,<=50K
986-98-6986,44.0,,Married-civ-spouse,Husband,Male,<=50K
563-56-3563,56.0,Bachelors,Married-civ-spouse,,Male,<=50K
441-44-1441,41.0,Bachelors,Divorced,Not-in-family,,
709-70-9709,39.0,Masters,Never-married,Not-in-family,,
200-20-0200,28.0,HS-grad,Married-civ-spouse,Husband,Male,
371-37-1371,35.0,,Married-civ-spouse,Husband,,
341-34-1341,23.0,Assoc-acdm,Never-married,Own-child,Male,<=50K
021-02-1021,37.0,,Married-civ-spouse,Husband,,
228-22-8228,19.0,Some-college,Never-married,Not-in-family,Male,<=50K
886-88-6886,43.0,Masters,,Not-in-family,Female,
863-86-3863,36.0,HS-grad,Married-civ-spouse,,Male,>50K
663-66-3663,38.0,,,Own-child,Female,
435-43-5435,30.0,Bachelors,Married-civ-spouse,Husband,Male,<=50K
259-25-9259,44.0,,Married-civ-spouse,Husband,,
655-65-5655,,,Married-civ-spouse,Husband,Male,<=50K
285-28-5285,53.0,Some-college,Married-civ-spouse,Husband,Male,
857-85-7857,30.0,,Never-married,Not-in-family,,<=50K
885-88-5885,18.0,Assoc-voc,Never-married,Own-child,,
008-00-8008,35.0,,,,,<=50K
833-83-3833,51.0,,,Husband,Male,
731-73-1731,27.0,5th-6th,Married-civ-spouse,Wife,Female,
606-60-6606,38.0,,Never-married,Not-in-family,Male,
795-79-5795,27.0,HS-grad,Married-civ-spouse,,Male,>50K
236-23-6236,31.0,HS-grad,Married-civ-spouse,Husband,,
614-61-4614,22.0,,Married-civ-spouse,Husband,,<=50K
383-38-3383,35.0,1st-4th,Married-civ-spouse,Husband,,<=50K
241-24-1241,21.0,,Never-married,Own-child,Female,<=50K
604-60-4604,49.0,Some-college,Never-married,Not-in-family,Female,<=50K
035-03-5035,35.0,HS-grad,Divorced,,,<=50K
469-46-9469,58.0,HS-grad,,,,<=50K
979-97-9979,,,Separated,Unmarried,,<=50K
098-09-8098,41.0,Masters,Married-civ-spouse,,Male,<=50K
225-22-5225,45.0,,,Husband,Male,>50K
600-60-0600,19.0,11th,Never-married,Own-child,,
444-44-4444,51.0,Masters,,Unmarried,Female,<=50K
658-65-8658,41.0,Some-college,Married-civ-spouse,Husband,Male,<=50K
313-31-3313,44.0,,Never-married,,,<=50K
461-46-1461,51.0,,Married-civ-spouse,,,
775-77-5775,59.0,,Married-civ-spouse,Husband,Male,
876-87-6876,31.0,,Never-married,,Male,<=50K
376-37-6376,36.0,Bachelors,,Not-in-family,,<=50K
387-38-7387,46.0,11th,,,Male,
356-35-6356,23.0,,Never-married,Not-in-family,Male,
605-60-5605,54.0,,Never-married,Own-child,Female,
553-55-3553,43.0,,,Unmarried,,<=50K
852-85-2852,40.0,Some-college,Never-married,,Female,<=50K
524-52-4524,49.0,Bachelors,,Not-in-family,Male,>50K
455-45-5455,25.0,Some-college,,Own-child,,
214-21-4214,35.0,Some-college,Married-civ-spouse,,,
006-00-6006,64.0,7th-8th,Widowed,Not-in-family,Male,
618-61-8618,48.0,,Divorced,,,
044-04-4044,,Bachelors,Married-civ-spouse,Husband,,>50K
138-13-8138,42.0,Some-college,Married-civ-spouse,Husband,,<=50K
715-71-5715,40.0,,Never-married,Not-in-family,,
425-42-5425,40.0,HS-grad,Separated,Not-in-family,Female,
127-12-7127,40.0,Some-college,Divorced,,,<=50K
381-38-1381,,Masters,Never-married,Unmarried,Male,
332-33-2332,47.0,Bachelors,,Not-in-family,Female,
243-24-3243,51.0,,Married-civ-spouse,Husband,Male,>50K
000-00-0000,32.0,HS-grad,Never-married,,Male,<=50K
